filenames,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,labels
cats/train/cats_00001.jpg,-1.6322563,-0.14814737,-1.233281,0.51494884,1.5463606,-0.2167688,2.1855779,0.48223493,-0.85087633,0.36577746,-0.5532468,-0.55323195,-0.7417836,-0.11210902,0.7526347,-0.6906374,0.15880635,-1.7701064,-2.9593527,-0.0209473,-2.1112592,3.0493271,-2.1604478,-0.004963413,2.326263,0.38450545,0.41496372,-0.50791025,-0.41426888,-1.7842332,-1.1924411,1.3063635,0
cats/train/cats_00002.jpg,1.5129288,-1.04355,-2.092675,1.0303373,0.91127586,1.7006425,2.5702493,3.4172623,0.008351356,-0.42823005,-1.5389547,-0.36864018,-2.4881127,2.142393,-3.5562284,0.25542098,1.8941042,1.616347,-0.66038233,0.45311642,1.5816586,-1.5409144,-3.7540836,0.99943465,0.17186432,-2.1057694,0.4718138,-3.4740093,-2.0126011,-0.9088211,1.6935246,2.6731536,0
cats/train/cats_00003.jpg,1.1866399,-1.1409423,-3.0446258,1.7731612,1.8457854,0.36667773,2.696049,1.431806,0.03912708,-0.08759981,-1.1136522,1.2849592,-2.6358066,0.70762986,-1.446009,-0.5239818,1.2788161,3.6718376,0.889311,-1.2612306,-0.1917724,0.6463129,-3.8060324,0.9083082,0.5045306,-1.4551147,-0.25244722,-2.2380428,-1.6249737,-1.4157919,-3.220739,0.15971524,0
cats/train/cats_00004.jpg,3.2244775,-1.5859052,-1.2453152,1.8423432,1.8966988,1.0307734,0.32767418,-0.806021,-0.09230694,1.445326,1.8036941,1.3526458,0.63379395,1.81524,-2.7871668,0.55210364,2.0644765,1.4682971,-1.6387221,0.41274232,2.1123013,-0.24694079,-0.40013292,2.1944213,-1.6737243,-2.219198,0.5544635,-1.854413,-5.3576345,1.7986258,2.4156847,3.2141023,0
cats/train/cats_00005.jpg,4.146334,-0.74129045,-1.9478896,2.926786,-0.6956424,0.8120661,-1.1162776,-0.3016831,-0.58757997,0.7651101,-0.049085617,3.1625593,-0.08909464,1.9789494,-1.8618052,-0.35872692,3.2947626,1.8918052,-1.748359,0.9167884,2.2501793,-1.0388764,-0.918861,2.0710235,-2.8327904,-1.68187,0.74809986,-2.8440719,-3.107825,0.05239767,1.7131715,3.2455988,0
cats/train/cats_00006.jpg,1.2328169,-0.42124906,0.32864022,0.74679625,0.74567235,0.975504,2.6765254,-0.25681573,-0.09800729,-1.0547719,1.1228703,-0.53889185,-2.0498478,1.8322086,-2.5603967,-0.06634116,2.3872924,-1.2381723,-1.8983724,-0.82220465,-0.59443307,1.0669812,-2.738612,0.28976732,1.069766,1.3905776,0.22942781,-2.4672635,-3.4445765,-0.28829014,-1.34462,0.7428614,0
cats/train/cats_00007.jpg,1.6180604,0.7571269,-0.41793436,0.4738477,0.90961784,0.63441956,1.7574712,-0.9142511,0.35721093,-0.5491914,-0.21472014,-0.095958814,-0.6642655,-0.63227373,-0.76250786,0.17404649,1.1097099,-0.56190443,-1.1509356,0.49215922,0.73560315,-0.4701698,-0.7048666,1.1753224,0.5712487,0.5067448,0.5780341,-1.1919233,-1.6790316,0.8590476,0.34881258,0.8169392,0
cats/train/cats_00008.jpg,2.7241297,-1.9091526,-0.91991967,1.9784557,1.575409,2.0856004,2.2622871,-2.408276,-0.1661322,0.37055165,1.7555132,1.4031152,-1.8949782,1.2122315,-3.2720044,0.2979508,1.553657,-1.0075997,-2.3963478,-0.33213544,1.7020189,1.6458083,-1.2378756,1.6065131,-0.020026265,-0.4266233,0.18306209,-2.84329,-5.3006754,2.8669229,2.3861887,2.3668396,0
cats/train/cats_00009.jpg,1.2182957,-0.33004057,0.9382989,-0.26858422,0.67904305,0.9112859,1.6842706,-2.9097488,-1.7626295,0.5705023,3.0115888,0.22478826,-0.9986461,0.8815911,-0.8961915,-0.0001445245,2.2992396,-1.5271703,-3.1578407,0.012930281,-0.6403295,1.5021728,-1.9999989,0.7914786,0.26686025,2.9856968,-1.5373544,-1.8305697,-4.4242196,-0.07840473,-1.4598197,0.6497646,0
cats/train/cats_00010.jpg,2.1326284,-1.2326987,-1.2692813,0.69073915,1.3975092,1.7051508,2.7987723,-2.1731086,-1.3050517,0.47530815,2.7124102,1.7647766,-1.9313033,2.2075279,-2.0013924,0.080582604,2.3222039,-0.064318866,-1.5790339,0.18417668,0.4084633,1.0452921,-2.6116974,-0.100795254,-0.13763511,0.87319946,-1.2647808,-3.0690374,-3.5598207,-1.194106,-1.367494,1.1953838,0
cats/train/cats_00011.jpg,0.9288538,0.21071807,-0.0037843185,-0.62084854,1.6354629,1.4293282,0.73198485,-2.244522,-2.0048497,2.2310016,3.8679025,-0.4088629,1.9922704,0.8168264,-0.026680414,0.14145276,2.1990275,-0.26050767,-2.134392,1.1746953,0.43246362,-0.15487954,-0.62487864,0.7196844,-1.1302131,1.3413105,-2.0284886,-0.4584696,-3.7971106,-1.1020112,-0.24998823,1.9420037,0
cats/train/cats_00012.jpg,-0.042489316,-1.9184308,-2.6685925,0.2794607,2.861812,3.1318107,3.920538,-0.35940367,-0.9688103,1.2908866,1.2759128,0.08206364,-1.687345,1.82383,-1.805947,-1.33459,1.2788925,-0.28839698,-2.38095,0.84848577,-0.039765716,2.2467027,-3.427421,-0.18373051,0.71381915,-0.27728224,-1.5373284,-2.7354324,-1.9030418,-2.3044028,0.16438356,2.743494,0
cats/train/cats_00013.jpg,0.6853269,-1.7727991,-2.33428,1.2488773,3.2105873,2.0447884,2.5523465,0.6295008,-1.2713369,1.5726118,2.46353,-0.27033806,0.29710895,1.8767574,-2.0937355,0.05389711,0.24461375,1.4355655,-0.020158976,-0.31079292,2.3671415,0.5801623,-2.0687256,0.23182423,-0.49119085,-2.5789077,-0.676779,-1.1197823,-3.1116982,-0.2014508,0.8112672,3.197131,0
cats/train/cats_00014.jpg,1.3584849,-0.359419,-0.840764,0.2406821,2.8893926,2.123103,1.7118589,-2.3452039,-1.480278,2.0219076,4.669345,-0.83223075,2.0975869,1.554796,-0.7244106,-0.5106921,1.7491257,-0.15297335,-0.692992,0.4457257,2.4381223,-0.011312772,-0.3622534,0.5018674,-1.6274759,-1.0588192,-0.70707685,0.3156242,-4.151559,-0.13179019,1.0919825,2.971065,0
cats/train/cats_00015.jpg,3.2779005,0.21987338,-1.157718,2.508114,-0.29534298,-0.015783682,1.0109336,0.61310107,-0.3174868,-1.2475824,-0.9040936,3.3448217,-2.4974074,0.9236472,-2.355301,2.1283576,1.213598,1.4593952,-0.02216617,-0.38864064,2.7464483,-1.2203687,-2.6329448,0.66020876,-0.286588,-1.594713,-0.49486563,-3.2995448,-2.0607443,0.9255684,-0.7271807,1.1076434,0
cats/train/cats_00016.jpg,2.0439703,-0.5462024,-1.5239904,-0.68073153,1.6784266,1.9138559,2.8985555,-2.358802,-1.5598991,0.71744597,3.7344096,-0.2228314,-1.5197351,1.3887348,-2.3081772,-0.38614786,3.042501,0.43979457,-1.281732,-0.06573376,0.7416629,0.22758439,-2.8576732,0.5728143,-0.983979,0.88100946,-1.3556168,-1.7259235,-4.2467227,-1.176094,-1.4447719,1.5138098,0
cats/train/cats_00017.jpg,2.5557504,-1.9596146,-2.7717316,1.2146083,2.1040316,2.1189451,2.5190825,0.65576774,-0.5930132,0.9800293,1.080306,1.3749406,-1.7415998,2.0568545,-3.6676822,0.7208141,1.4023684,2.2679698,-0.5990127,0.68279785,2.0807567,-0.5032983,-1.6502763,0.9216546,-0.6249513,-1.7356082,-0.2699615,-3.3402557,-3.7184772,0.5727769,2.224913,2.9493682,0
cats/train/cats_00018.jpg,0.47266605,-0.87024546,0.83051217,0.98505354,0.39058793,0.47618368,0.0830801,1.9438335,-0.41639763,-0.41348428,0.14905111,-0.2211736,-1.1709857,2.3074965,-1.402273,0.21119326,1.2559357,0.464348,-0.4912291,-0.07984329,0.81393206,-0.64236134,-1.3146005,0.08959214,-0.26728356,-0.43578836,0.27205247,-1.7510574,-2.5439582,0.6632695,0.6535878,1.242707,0
cats/train/cats_00019.jpg,0.82144815,-2.316847,-2.1257255,0.38648129,3.0122137,3.087909,3.4949715,-3.8506606,-1.2163712,2.309709,4.083522,-0.600901,-0.5479623,0.96513605,-2.2439814,-1.1528425,1.9714003,-1.0462314,-2.5387323,0.60571015,0.76546735,3.0540235,-0.28553593,1.1240728,-0.15220618,0.5474998,-0.86467683,-1.6060368,-5.619375,2.2607362,3.052346,2.578762,0
cats/train/cats_00020.jpg,1.3196714,0.7710662,2.1000934,-0.13628428,0.43613696,0.80657274,-0.10312797,-1.7178737,-1.7775792,0.8503574,3.4441497,-0.82914805,1.3681798,0.733482,-0.590657,1.08546,1.8940611,-1.8643367,-2.8059263,0.11764981,0.895452,-0.88065284,-1.0298742,1.4472575,-0.6162049,1.6364992,-1.15356,-0.39320987,-5.237296,0.5268717,0.20480514,2.0296173,0
cats/train/cats_00021.jpg,0.0956189,-1.2150998,1.4802049,0.7926268,1.2065533,0.15286013,0.0854717,0.7337663,0.7785015,0.24783404,-1.0795407,-0.5685352,-0.009610089,1.067647,-0.5323708,0.027957551,0.40555868,-1.1514152,-2.581409,0.2091222,-0.114690006,0.53703475,-1.2358985,1.65432,1.1906539,-0.97528315,0.9243201,-1.1175233,-2.863718,1.4176756,1.8140814,0.9404565,0
cats/train/cats_00022.jpg,1.0349468,-0.7643363,-2.4805484,0.9636272,0.9184179,1.1389241,4.4683604,1.148232,0.5701427,-1.3798796,-1.2155968,-0.43394205,-3.9527557,1.3613114,-2.7326667,-1.5251553,2.6923356,2.061976,0.85463876,-2.007279,-1.2819209,1.1469666,-3.9925985,1.114047,1.6653486,0.326863,1.0000334,-2.4912908,-1.816975,-1.9697063,-2.4146311,-0.6220406,0
cats/train/cats_00023.jpg,-0.3220177,-0.28018093,-1.2467724,0.74258673,3.2531714,1.672719,2.297914,-0.7434644,-1.027539,1.9001541,2.395657,-0.16903666,1.740837,0.3586713,0.46449164,0.22466858,-0.5230286,-0.8474024,-0.9559784,1.2739474,1.278624,0.5790009,-1.2722886,-0.87139267,0.55804676,-1.2183127,-1.8217103,-0.33984557,-0.81518126,-1.306126,-0.7023453,2.3681974,0
